order_year,order_month,month_name,monthly_revenue,monthly_profit,order_count
2014,1,Jan,6417.1,1322.82,32
2014,2,Feb,1860.76,547.6,28
2014,3,Mar,19023.97,1212.35,71
2014,4,Apr,12415.64,1897.65,66
2014,5,May,15939.35,2116.09,69
2014,6,Jun,13837.71,2724.5,66
2014,7,Jul,13562.94,-2199.35,65
2014,8,Aug,14667.02,2388.84,72
2014,9,Sep,26681.75,1695.03,130
2014,10,Oct,13501.22,639.94,78
2014,11,Nov,33182.74,3259.5,151
2014,12,Dec,36905.77,5201.92,141
2015,1,Jan,10876.26,-1962.92,29
2015,2,Feb,7178.18,2222.12,36
2015,3,Mar,16185.64,2974.74,79
2015,4,Apr,13873.65,55.71,72
2015,5,May,14107.27,1861.24,74
2015,6,Jun,13281.73,2251.49,68
2015,7,Jul,11818.28,1202.46,66
2015,8,Aug,18997.19,3848.45,68
2015,9,Sep,27161.59,1939.6,140
2015,10,Oct,16833.97,1623.77,87
2015,11,Nov,39154.49,5852.14,158
2015,12,Dec,32410.61,2675.5,161
2016,1,Jan,10871.02,2365.22,48
2016,2,Feb,17602.6,4087.56,45
2016,3,Mar,19516.74,-227.8,86
2016,4,Apr,26869.02,4884.5,89
2016,5,May,35449.82,5020.59,108
2016,6,Jun,24496.24,2794.64,97
2016,7,Jul,16087.58,1978.85,96
2016,8,Aug,14750.26,356.83,90
2016,9,Sep,30724.19,2873.93,192
2016,10,Oct,19639.77,879.16,105
2016,11,Nov,38113.44,4449.1,183
2016,12,Dec,58606.26,12992.77,176
2017,1,Jan,22749.99,4728.59,69
2017,2,Feb,9769.59,374.48,53
2017,3,Mar,20082.03,2952.45,118
2017,4,Apr,17424.48,1700.09,116
2017,5,May,20244.36,3373.46,118
2017,6,Jun,32929.08,5643.99,133
2017,7,Jul,18629.0,3221.38,111
2017,8,Aug,32833.18,3519.12,111
2017,9,Sep,36546.94,5021.97,226
2017,10,Oct,38363.94,5211.58,147
2017,11,Nov,62912.32,6645.3,261
2017,12,Dec,44775.41,2316.61,224
